 Container task-queue-redis-1 Running 
 Container task-queue-producer-run-565935f6a08d Creating 
 Container task-queue-producer-run-565935f6a08d Created 
Connected to Redis!
worker-2  | Connected to Redis!
worker-2  | Consumer running. Waiting for tasks...
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663712872128] Task 6 finished in 12ms
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663721264832] Task 10 finished in 11ms
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663612311232] Task 9 finished in 12ms
worker-2  | [2026-02-20 19:07:52] [Error] [Thread 139663704479424] Processing task 8 failed, retry #1
worker-2  | [2026-02-20 19:07:52] [Error] [Thread 139663696086720] Processing task 7 failed, retry #1
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663712872128] Processed Task 6 (Type: UPLOAD)
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663612311232] Processed Task 9 (Type: UPLOAD)
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663721264832] Processed Task 10 (Type: EMAIL)
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663712872128] Task 22 finished in 19ms
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663704479424] Task 20 finished in 20ms
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663721264832] Task 25 finished in 18ms
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663612311232] Task 24 finished in 20ms
worker-2  | [2026-02-20 19:07:52] [Error] [Thread 139663696086720] Processing task 21 failed, retry #1
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663712872128] Processed Task 22 (Type: EMAIL)
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663704479424] Processed Task 20 (Type: CONVERT)
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663612311232] Processed Task 24 (Type: UPLOAD)
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663721264832] Processed Task 25 (Type: EMAIL)
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663696086720] Task 31 finished in 28ms
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663721264832] Task 35 finished in 26ms
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663712872128] Task 33 finished in 27ms
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663696086720] Processed Task 31 (Type: EMAIL)
worker-2  | [2026-02-20 19:07:52] [Error] [Thread 139663704479424] Processing task 12 failed, retry #2
worker-2  | [2026-02-20 19:07:52] [Error] [Thread 139663612311232] Processing task 34 failed, retry #1
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663721264832] Processed Task 35 (Type: CONVERT)
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663712872128] Processed Task 33 (Type: UPLOAD)
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663696086720] Task 45 finished in 36ms
worker-3  | Connected to Redis!
worker-3  | Consumer running. Waiting for tasks...
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735806305984] Task 1 finished in 13ms
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735789520576] Task 3 finished in 11ms
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735772735168] Task 5 finished in 12ms
worker-3  | [2026-02-20 19:07:52] [Error] [Thread 139735797913280] Processing task 2 failed, retry #1
worker-1  | Connected to Redis!
worker-1  | Consumer running. Waiting for tasks...
worker-1  | [2026-02-20 19:07:52] [Info] [Thread 139778132473536] Task 11 finished in 13ms
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735789520576] Processed Task 3 (Type: UPLOAD)
worker-3  | [2026-02-20 19:07:52] [Error] [Thread 139735781127872] Processing task 4 failed, retry #1
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735806305984] Processed Task 1 (Type: EMAIL)
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735772735168] Processed Task 5 (Type: CONVERT)
